새로 학습
2016-04-18 07:35:42,923 : INFO : loading Word2Vec object from gensimdata.model
2016-04-18 07:35:43,726 : INFO : setting ignored attribute syn0norm to None
2016-04-18 07:35:43,726 : INFO : setting ignored attribute cum_table to None
2016-04-18 07:35:44,063 : INFO : training model with 8 workers on 208235 vocabulary and 30 features, using sg=0 hs=0 sample=0.001 negative=5
2016-04-18 07:35:44,064 : INFO : expecting 11388 sentences, matching count from corpus used for vocabulary survey
2016-04-18 07:43:31,629 : INFO : PROGRESS: at 11.20% examples, 113087 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:43:32,638 : INFO : PROGRESS: at 11.33% examples, 114072 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:43:33,643 : INFO : PROGRESS: at 11.46% examples, 115147 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:43:34,652 : INFO : PROGRESS: at 11.59% examples, 116197 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:43:35,653 : INFO : PROGRESS: at 11.72% examples, 117231 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:43:36,680 : INFO : PROGRESS: at 11.82% examples, 118014 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:43:37,690 : INFO : PROGRESS: at 11.94% examples, 118993 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:43:38,692 : INFO : PROGRESS: at 12.06% examples, 119931 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:43:39,719 : INFO : PROGRESS: at 12.19% examples, 120945 words/s, in_qsize 15, out_qsize 1
2016-04-18 07:43:40,757 : INFO : PROGRESS: at 12.32% examples, 121995 words/s, in_qsize 15, out_qsize 1
2016-04-18 07:43:41,771 : INFO : PROGRESS: at 12.44% examples, 122905 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:43:42,812 : INFO : PROGRESS: at 12.58% examples, 124039 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:43:43,824 : INFO : PROGRESS: at 12.72% examples, 125140 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:43:44,831 : INFO : PROGRESS: at 12.85% examples, 126132 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:43:45,868 : INFO : PROGRESS: at 12.99% examples, 127213 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:43:46,875 : INFO : PROGRESS: at 13.13% examples, 128359 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:43:47,877 : INFO : PROGRESS: at 13.27% examples, 129383 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:43:48,899 : INFO : PROGRESS: at 13.41% examples, 130464 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:43:49,906 : INFO : PROGRESS: at 13.55% examples, 131551 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:43:50,915 : INFO : PROGRESS: at 13.68% examples, 132509 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:43:51,916 : INFO : PROGRESS: at 13.81% examples, 133567 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:43:52,932 : INFO : PROGRESS: at 13.95% examples, 134622 words/s, in_qsize 14, out_qsize 1
2016-04-18 07:43:53,940 : INFO : PROGRESS: at 14.07% examples, 135527 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:43:54,950 : INFO : PROGRESS: at 14.21% examples, 136606 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:43:55,960 : INFO : PROGRESS: at 14.35% examples, 137625 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:43:56,973 : INFO : PROGRESS: at 14.48% examples, 138555 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:43:57,983 : INFO : PROGRESS: at 14.61% examples, 139555 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:43:58,987 : INFO : PROGRESS: at 14.75% examples, 140575 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:43:59,990 : INFO : PROGRESS: at 14.87% examples, 141439 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:01,018 : INFO : PROGRESS: at 15.00% examples, 142379 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:44:02,034 : INFO : PROGRESS: at 15.14% examples, 143384 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:03,048 : INFO : PROGRESS: at 15.26% examples, 144252 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:44:04,055 : INFO : PROGRESS: at 15.39% examples, 145234 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:05,063 : INFO : PROGRESS: at 15.52% examples, 146132 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:06,065 : INFO : PROGRESS: at 15.64% examples, 147000 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:44:07,076 : INFO : PROGRESS: at 15.78% examples, 148015 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:08,109 : INFO : PROGRESS: at 15.92% examples, 148960 words/s, in_qsize 16, out_qsize 2
2016-04-18 07:44:09,112 : INFO : PROGRESS: at 16.03% examples, 149653 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:44:10,113 : INFO : PROGRESS: at 16.16% examples, 150589 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:11,119 : INFO : PROGRESS: at 16.29% examples, 151477 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:12,122 : INFO : PROGRESS: at 16.41% examples, 152346 words/s, in_qsize 14, out_qsize 0
2016-04-18 07:44:13,139 : INFO : PROGRESS: at 16.54% examples, 153223 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:14,139 : INFO : PROGRESS: at 16.68% examples, 154207 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:44:15,140 : INFO : PROGRESS: at 16.78% examples, 154899 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:16,161 : INFO : PROGRESS: at 16.92% examples, 155862 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:44:17,196 : INFO : PROGRESS: at 17.04% examples, 156691 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:18,221 : INFO : PROGRESS: at 17.16% examples, 157406 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:19,228 : INFO : PROGRESS: at 17.28% examples, 158221 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:20,231 : INFO : PROGRESS: at 17.41% examples, 159158 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:21,243 : INFO : PROGRESS: at 17.52% examples, 159849 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:22,287 : INFO : PROGRESS: at 17.66% examples, 160780 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:23,312 : INFO : PROGRESS: at 17.79% examples, 161623 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:44:24,322 : INFO : PROGRESS: at 17.92% examples, 162509 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:25,327 : INFO : PROGRESS: at 18.04% examples, 163318 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:26,330 : INFO : PROGRESS: at 18.18% examples, 164227 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:27,339 : INFO : PROGRESS: at 18.29% examples, 164955 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:28,342 : INFO : PROGRESS: at 18.41% examples, 165739 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:44:29,375 : INFO : PROGRESS: at 18.54% examples, 166608 words/s, in_qsize 16, out_qsize 1
2016-04-18 07:44:30,375 : INFO : PROGRESS: at 18.67% examples, 167432 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:44:31,394 : INFO : PROGRESS: at 18.81% examples, 168310 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:32,396 : INFO : PROGRESS: at 18.93% examples, 169149 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:33,403 : INFO : PROGRESS: at 19.06% examples, 169942 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:34,420 : INFO : PROGRESS: at 19.19% examples, 170823 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:44:35,451 : INFO : PROGRESS: at 19.33% examples, 171709 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:44:36,464 : INFO : PROGRESS: at 19.45% examples, 172470 words/s, in_qsize 15, out_qsize 0
